rates >>>,business $,0.545,medical $,0.18,charity $,0.14,moving $,0.18

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),UNCLASSIFIED,TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY
Sonata,116803,1466.9,0.0,490.1,104.7,2061.7,"=ROUND(PRODUCT(C6, C1), 2)",0.00,0.00,"=ROUND(SUM(H6, I6, J6), 2)",0.0,0.0,0.0
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
07/10/2018 18:13,07/10/2018 19:12,Business,Virginia Beach VA,Buffalo Wild Wings,16.0,"=ROUND(PRODUCT(F80, C1), 2)",0.00,0.00,"=ROUND(SUM(G80, H80, I80), 2)",Sonata,Business,
07/10/2018 19:15,07/10/2018 19:35,Business,Buffalo Wild Wings,Northeast Virginia Beach Virginia Beach VA,4.5,"=ROUND(PRODUCT(F81, C1), 2)",0.00,0.00,"=ROUND(SUM(G81, H81, I81), 2)",Sonata,Business,
07/10/2018 19:37,07/10/2018 19:50,Business,Northeast Virginia Beach Virginia Beach VA,Northeast Virginia Beach Virginia Beach VA,2.5,"=ROUND(PRODUCT(F82, C1), 2)",0.00,0.00,"=ROUND(SUM(G82, H82, I82), 2)",Sonata,Business,
07/10/2018 19:53,07/10/2018 20:06,Business,Northeast Virginia Beach Virginia Beach VA,Downtown Virginia Beach Virginia Beach VA,3.8,"=ROUND(PRODUCT(F83, C1), 2)",0.00,0.00,"=ROUND(SUM(G83, H83, I83), 2)",Sonata,Business,
07/10/2018 20:14,07/10/2018 20:49,Business,Downtown Virginia Beach Virginia Beach VA,Maggy McFly,10.2,"=ROUND(PRODUCT(F84, C1), 2)",0.00,0.00,"=ROUND(SUM(G84, H84, I84), 2)",Sonata,Business,
07/10/2018 21:06,07/10/2018 21:32,Personal,Maggy McFly,SGC,9.4,"=ROUND(PRODUCT(F85, 0), 2)",0.00,0.00,"=ROUND(SUM(G85, H85, I85), 2)",Sonata,Personal,
07/11/2018 06:56,07/11/2018 07:02,Personal,SGC,North Central Virginia Beach VA,0.7,"=ROUND(PRODUCT(F86, 0), 2)",0.00,0.00,"=ROUND(SUM(G86, H86, I86), 2)",Sonata,Personal,
07/11/2018 11:06,07/11/2018 11:17,Business,SGC,North Central Virginia Beach VA,3.4,"=ROUND(PRODUCT(F87, C1), 2)",0.00,0.00,"=ROUND(SUM(G87, H87, I87), 2)",Sonata,Business,
07/11/2018 11:19,07/11/2018 11:52,Business,North Central Virginia Beach VA,TCC,8.5,"=ROUND(PRODUCT(F88, C1), 2)",0.00,0.00,"=ROUND(SUM(G88, H88, I88), 2)",Sonata,Business,
07/11/2018 16:43,07/11/2018 17:03,Personal,TCC,SGC,6.6,"=ROUND(PRODUCT(F89, 0), 2)",0.00,0.00,"=ROUND(SUM(G89, H89, I89), 2)",Sonata,Personal,
07/11/2018 17:16,07/11/2018 17:52,Business,SGC,TGI Fridays,5.4,"=ROUND(PRODUCT(F90, C1), 2)",0.00,0.00,"=ROUND(SUM(G90, H90, I90), 2)",Sonata,Business,
07/11/2018 18:23,07/11/2018 19:02,Business,TGI Fridays,Virginia Beach VA,10.7,"=ROUND(PRODUCT(F91, C1), 2)",0.00,0.00,"=ROUND(SUM(G91, H91, I91), 2)",Sonata,Business,
07/11/2018 19:03,07/11/2018 19:17,Business,Virginia Beach VA,Virginia Beach VA,4.1,"=ROUND(PRODUCT(F92, C1), 2)",0.00,0.00,"=ROUND(SUM(G92, H92, I92), 2)",Sonata,Business,
07/11/2018 19:20,07/11/2018 19:59,Business,Virginia Beach VA,Virginia Beach VA,10.0,"=ROUND(PRODUCT(F93, C1), 2)",0.00,0.00,"=ROUND(SUM(G93, H93, I93), 2)",Sonata,Business,
07/11/2018 20:04,07/11/2018 20:30,Business,Virginia Beach VA,Town Center,5.3,"=ROUND(PRODUCT(F94, C1), 2)",0.00,0.00,"=ROUND(SUM(G94, H94, I94), 2)",Sonata,Business,
07/11/2018 20:38,07/11/2018 21:04,Business,Town Center,Virginia Beach VA,6.3,"=ROUND(PRODUCT(F95, C1), 2)",0.00,0.00,"=ROUND(SUM(G95, H95, I95), 2)",Sonata,Business,
07/11/2018 21:08,07/11/2018 21:33,Business,Virginia Beach VA,SGC,10.0,"=ROUND(PRODUCT(F96, C1), 2)",0.00,0.00,"=ROUND(SUM(G96, H96, I96), 2)",Sonata,Business,
07/12/2018 09:20,07/12/2018 09:46,Personal,SGC,TCC,6.3,"=ROUND(PRODUCT(F97, 0), 2)",0.00,0.00,"=ROUND(SUM(G97, H97, I97), 2)",Sonata,Personal,
07/12/2018 14:15,07/12/2018 14:47,Business,TCC,Kao Tai,8.5,"=ROUND(PRODUCT(F98, C1), 2)",0.00,0.00,"=ROUND(SUM(G98, H98, I98), 2)",Sonata,Business,
07/12/2018 15:11,07/12/2018 15:24,Business,Kao Tai,SGC,6.2,"=ROUND(PRODUCT(F99, C1), 2)",0.00,0.00,"=ROUND(SUM(G99, H99, I99), 2)",Sonata,Business,
07/12/2018 16:04,07/12/2018 16:42,Business,SGC,North Central Virginia Beach VA,12.4,"=ROUND(PRODUCT(F100, C1), 2)",0.00,0.00,"=ROUND(SUM(G100, H100, I100), 2)",Sonata,Business,
07/12/2018 16:49,07/12/2018 17:53,Business,North Central Virginia Beach VA,Virginia Beach VA,16.8,"=ROUND(PRODUCT(F101, C1), 2)",0.00,0.00,"=ROUND(SUM(G101, H101, I101), 2)",Sonata,Business,
07/12/2018 17:54,07/12/2018 18:13,Business,Virginia Beach VA,North Central Virginia Beach VA,5.8,"=ROUND(PRODUCT(F102, C1), 2)",0.00,0.00,"=ROUND(SUM(G102, H102, I102), 2)",Sonata,Business,
07/12/2018 18:16,07/12/2018 18:34,Business,North Central Virginia Beach VA,North Central Virginia Beach VA,4.5,"=ROUND(PRODUCT(F103, C1), 2)",0.00,0.00,"=ROUND(SUM(G103, H103, I103), 2)",Sonata,Business,
07/12/2018 18:35,07/12/2018 18:59,Business,North Central Virginia Beach VA,Virginia Beach VA,6.2,"=ROUND(PRODUCT(F104, C1), 2)",0.00,0.00,"=ROUND(SUM(G104, H104, I104), 2)",Sonata,Business,
07/12/2018 19:03,07/12/2018 19:46,Business,Virginia Beach VA,Virginia Beach VA,11.3,"=ROUND(PRODUCT(F105, C1), 2)",0.00,0.00,"=ROUND(SUM(G105, H105, I105), 2)",Sonata,Business,
07/12/2018 19:57,07/12/2018 20:03,Business,Virginia Beach VA,Virginia Beach VA,1.2,"=ROUND(PRODUCT(F106, C1), 2)",0.00,0.00,"=ROUND(SUM(G106, H106, I106), 2)",Sonata,Business,
07/12/2018 20:18,07/12/2018 20:47,Business,Virginia Beach VA,Virginia Beach VA,12.2,"=ROUND(PRODUCT(F107, C1), 2)",0.00,0.00,"=ROUND(SUM(G107, H107, I107), 2)",Sonata,Business,
07/12/2018 21:05,07/12/2018 21:29,Business,Virginia Beach VA,SGC,7.2,"=ROUND(PRODUCT(F108, C1), 2)",0.00,0.00,"=ROUND(SUM(G108, H108, I108), 2)",Sonata,Business,
07/13/2018 09:34,07/13/2018 09:53,Personal,SGC,TCC,6.5,"=ROUND(PRODUCT(F109, 0), 2)",0.00,0.00,"=ROUND(SUM(G109, H109, I109), 2)",Sonata,Personal,
07/13/2018 15:52,07/13/2018 16:15,Personal,TCC,SGC,6.6,"=ROUND(PRODUCT(F110, 0), 2)",0.00,0.00,"=ROUND(SUM(G110, H110, I110), 2)",Sonata,Personal,
07/13/2018 17:35,07/13/2018 18:04,Business,SGC,Virginia Beach VA,7.3,"=ROUND(PRODUCT(F111, C1), 2)",0.00,0.00,"=ROUND(SUM(G111, H111, I111), 2)",Sonata,Business,
07/13/2018 18:06,07/13/2018 18:14,Business,Virginia Beach VA,Town Center,1.5,"=ROUND(PRODUCT(F112, C1), 2)",0.00,0.00,"=ROUND(SUM(G112, H112, I112), 2)",Sonata,Business,
